gw1n1-000,GW1N-LV1CS30C6/I5,GW1N,GW1N-1,WLCSP30,GW1N-1/WLCSP30.json
gw1n1-001,GW1N-LV1CS30C5/I4,GW1N,GW1N-1,WLCSP30,GW1N-1/WLCSP30.json
gw1n1-002,GW1N-LV1QN32C6/I5,GW1N,GW1N-1,QFN32,GW1N-1/QFN32.json
gw1n1-003,GW1N-LV1QN32C5/I4,GW1N,GW1N-1,QFN32,GW1N-1/QFN32.json
gw1n1-004,GW1N-LV1QN48C6/I5,GW1N,GW1N-1,QFN48,GW1N-1/QFN48.json
gw1n1-005,GW1N-LV1QN48C5/I4,GW1N,GW1N-1,QFN48,GW1N-1/QFN48.json
gw1n1-010,GW1N-LV1LQ100C6/I5,GW1N,GW1N-1,LQFP100,GW1N-1/LQFP100.json
gw1n1-011,GW1N-LV1LQ100C5/I4,GW1N,GW1N-1,LQFP100,GW1N-1/LQFP100.json
gw1n1-012,GW1N-LV1LQ144C6/I5,GW1N,GW1N-1,LQFP144,GW1N-1/LQFP144.json
gw1n1-013,GW1N-LV1LQ144C5/I4,GW1N,GW1N-1,LQFP144,GW1N-1/LQFP144.json
gw1n1-014,GW1N-LV1LQ100XC6/I5,GW1N,GW1N-1,LQFP100X,GW1N-1/LQFP100X-LV.json
gw1n1-015,GW1N-LV1LQ100XC5/I4,GW1N,GW1N-1,LQFP100X,GW1N-1/LQFP100X-LV.json
gw1n1-016,GW1N-UV1LQ100XC6/I5,GW1N,GW1N-1,LQFP100X,GW1N-1/LQFP100X-UV.json
gw1n1-017,GW1N-UV1LQ100XC5/I4,GW1N,GW1N-1,LQFP100X,GW1N-1/LQFP100X-UV.json
gw1n2-000,GW1N-LV2QN32C6/I5,GW1N,GW1N-2,QFN32,GW1N-2/QFN32.json
gw1n2-001,GW1N-LV2QN32C5/I4,GW1N,GW1N-2,QFN32,GW1N-2/QFN32.json
gw1n2-002,GW1N-LV2QN48C6/I5,GW1N,GW1N-2,QFN48,GW1N-2/QFN48.json
gw1n2-003,GW1N-LV2QN48C5/I4,GW1N,GW1N-2,QFN48,GW1N-2/QFN48.json
gw1n2-004,GW1N-LV2QN88C6/I5,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-005,GW1N-LV2QN88C5/I4,GW1N,GW1N-2,QFN88,GW1N-2/QFN88.json
gw1n2-006,GW1N-LV2CS72C6/I5,GW1N,GW1N-2,WLCSP72,GW1N-2/WLCSP72.json
gw1n2-007,GW1N-LV2CS72C5/I4,GW1N,GW1N-2,WLCSP72,GW1N-2/WLCSP72.json
gw1n2-008,GW1N-LV2LQ100C6/I5,GW1N,GW1N-2,LQFP100,GW1N-2/LQFP100.json
gw1n2-009,GW1N-LV2LQ100C5/I4,GW1N,GW1N-2,LQFP100,GW1N-2/LQFP100.json
gw1n2-010,GW1N-LV2LQ144C6/I5,GW1N,GW1N-2,LQFP144,GW1N-2/LQFP144.json
gw1n2-011,GW1N-LV2LQ144C5/I4,GW1N,GW1N-2,LQFP144,GW1N-2/LQFP144.json
gw1n2-012,GW1N-LV2MG160C6/I5,GW1N,GW1N-2,MBGA160,GW1N-2/MBGA160.json
gw1n2-013,GW1N-LV2MG160C5/I4,GW1N,GW1N-2,MBGA160,GW1N-2/MBGA160.json
gw1n2-014,GW1N-LV2PG256C6/I5,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2-015,GW1N-LV2PG256C5/I4,GW1N,GW1N-2,PBGA256,GW1N-2/PBGA256.json
gw1n2-016,GW1N-LV2PG256MC6/I5,GW1N,GW1N-2,PBGA256M,GW1N-2/PBGA256M.json
gw1n2-017,GW1N-LV2PG256MC5/I4,GW1N,GW1N-2,PBGA256M,GW1N-2/PBGA256M.json
gw1n2-018,GW1N-UV2QN32C6/I5,GW1N,GW1N-2,QFN32,GW1N-2/QFN32.json
gw1n2-019,GW1N-UV2QN32C5/I4,GW1N,GW1N-2,QFN32,GW1N-2/QFN32.json
gw1n2-020,GW1N-UV2QN48C6/I5,GW1N,GW1N-2,QFN48,GW1N-2/QFN48.json
gw1n2-021,GW1N-UV2QN48C5/I4,GW1N,GW1N-2,QFN48,GW1N-2/QFN48.json
